index,price,hood_district,sqft,beds,bath,laundry,pets,housing_type,parking
705,9100,4.0,3200.0,5.0,3.0,2,0,3,0
2836,9000,8.0,2588.0,2.0,2.5,2,0,0,3
628,3195,5.0,897.0,1.0,1.0,1,1,0,3
513,2950,9.0,550.0,1.0,1.0,2,0,0,3
1131,2800,8.0,600.0,1.0,1.0,2,3,0,3
1796,4495,5.0,1500.0,3.0,2.0,1,3,0,3
1261,3995,5.0,1400.0,3.0,1.5,0,1,0,0
2865,3400,10.0,1700.0,3.0,2.0,1,0,0,3
2862,4995,8.0,1500.0,4.0,2.0,1,0,0,0
1637,2700,1.0,717.0,1.0,1.0,0,0,0,0
941,3250,9.0,901.0,1.0,2.0,2,3,0,3
2467,6800,8.0,1350.0,3.0,1.0,1,1,0,0
139,2500,8.0,350.0,0.0,1.0,0,0,0,0
649,2950,8.0,760.0,1.0,1.0,2,3,0,3
2887,4800,9.0,1050.0,3.0,3.0,2,3,0,0
2417,3300,9.0,724.0,1.0,1.0,2,3,0,3
2898,2900,5.0,650.0,1.0,1.0,1,3,0,0
2326,3500,9.0,780.0,1.0,1.0,2,3,0,3
2386,3300,6.0,955.0,1.0,1.0,1,3,0,3
2317,4500,8.0,1300.0,2.0,2.0,1,3,0,3
165,4305,8.0,1365.0,3.0,2.5,2,3,0,0
1477,4495,7.0,1300.0,2.0,2.0,1,1,0,3
84,3549,9.0,790.0,1.0,1.0,2,3,0,0
1416,4300,10.0,1600.0,3.0,2.0,1,3,0,3
1865,2099,1.0,525.0,0.0,1.0,1,3,0,0
1772,1600,8.0,410.0,0.0,1.0,1,0,0,0
1918,4675,7.0,1110.0,2.0,1.0,2,0,0,3
2817,2517,9.0,370.0,0.0,1.0,1,3,0,0
1679,2900,9.0,558.0,1.0,1.0,2,0,0,0
3031,2995,9.0,609.0,1.0,1.0,1,0,0,3
519,6999,7.0,1925.0,5.0,2.0,2,1,0,0
1848,3090,9.0,4500.0,0.0,1.0,1,0,0,1
1426,4900,9.0,1303.0,3.0,1.0,2,3,0,0
1793,2880,1.0,750.0,2.0,1.0,2,2,0,0
583,2995,9.0,670.0,1.0,1.0,2,1,0,0
2672,3590,9.0,6360.0,1.0,1.0,1,3,0,1
1010,4500,8.0,1450.0,2.0,2.0,1,3,0,3
1011,4500,8.0,1450.0,2.0,2.0,1,3,0,3
2764,4890,6.0,9800.0,2.0,2.0,2,3,0,1
2757,3990,9.0,500.0,1.0,1.0,2,3,0,3
2377,2300,10.0,600.0,1.0,1.0,1,0,0,0
2670,3290,8.0,5200.0,0.0,1.0,1,0,0,1
2746,3690,9.0,5880.0,1.0,1.0,2,3,0,0
